Name,Category,Price,Type,Description,Is Available,Tax Rate,Image URL
Cream of Tomato Soup,Soups,130,Veg,Velvety roasted red vine tomato soup topped with golden butter croutons and fresh cream,TRUE,5,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=500&auto=format&fit=crop&q=80
Sweet Corn Veg Soup,Soups,130,Veg,Delicate Chinese style broth simmered with tender sweet corn kernels and minced vegetables,TRUE,5,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=500&auto=format&fit=crop&q=80
Hot and Sour Veg Soup,Soups,140,Veg,"Spicy and tangy oriental broth loaded with shredded cabbage, carrots, and button mushrooms",TRUE,5,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=500&auto=format&fit=crop&q=80
Veg Manchow Soup,Soups,140,Veg,Classic dark soy ginger broth packed with chopped vegetables and served with crispy fried noodles,TRUE,5,https://images.unsplash.com/photo-1540189549336-e6e99c3679fe?w=500&auto=format&fit=crop&q=80
Cream of Wild Mushroom Soup,Soups,150,Veg,Earthy sauteed button mushrooms pureed in garlic herb butter and double cream,TRUE,5,https://images.unsplash.com/photo-1565958011703-44f9829ba187?w=500&auto=format&fit=crop&q=80
Chicken Sweet Corn Soup,Soups,160,Non-Veg,"Silky egg ribbon broth with shredded chicken breast, crushed sweet corn, and white pepper",TRUE,5,https://images.unsplash.com/photo-1482049016688-2d3e1b311543?w=500&auto=format&fit=crop&q=80
Chicken Manchow Soup,Soups,170,Non-Veg,"Spicy Indo-Chinese chicken broth with ginger, garlic, coriander, and crispy noodle topping",TRUE,5,https://images.unsplash.com/photo-1484723091739-30a097e8f929?w=500&auto=format&fit=crop&q=80
Chicken Hot and Sour Soup,Soups,170,Non-Veg,"Hearty chicken soup accented with chili oil, dark vinegar, bamboo shoots, and mushrooms",TRUE,5,https://images.unsplash.com/photo-1498837167922-ddd27525d352?w=500&auto=format&fit=crop&q=80
Mutton Paya Shorba,Soups,210,Non-Veg,Traditional slow-cooked lamb trotter bone broth infused with whole spices and fresh mint,TRUE,5,https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=500&auto=format&fit=crop&q=80
Lemon Coriander Chicken Soup,Soups,160,Non-Veg,"Refreshing zesty clear soup infused with crushed coriander stalks, lemon juice, and chicken",TRUE,5,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=500&auto=format&fit=crop&q=80
Tandoori Paneer Tikka,Veg Starters,260,Veg,"Succulent cottage cheese cubes marinated in mustard oil, ajwain, and Kashmiri chili, roasted in clay oven",TRUE,5,https://images.unsplash.com/photo-1529042410759-befb1204b468?w=500&auto=format&fit=crop&q=80
Paneer Malai Tikka,Veg Starters,280,Veg,"Cottage cheese squares steeped in rich cashew cream, cardamom, and cheese, chargrilled to perfection",TRUE,5,https://images.unsplash.com/photo-1543339308-43e59d6b73a6?w=500&auto=format&fit=crop&q=80
Achari Paneer Tikka,Veg Starters,270,Veg,Tangy pickled spiced paneer cubes grilled over charcoal with bell peppers and Spanish onions,TRUE,5,https://images.unsplash.com/photo-1547592180-85f173990554?w=500&auto=format&fit=crop&q=80
Crispy Corn Salt and Pepper,Veg Starters,210,Veg,"Crunchy golden fried American sweet corn tossed with spring onions, garlic, and cracked black pepper",TRUE,5,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=500&auto=format&fit=crop&q=80
Veg Manchurian Dry,Veg Starters,220,Veg,"Crispy vegetable dumplings wok-tossed in pungent ginger, garlic, green chili, and dark soy sauce",TRUE,5,https://images.unsplash.com/photo-1546833999-b9f581a1996d?w=500&auto=format&fit=crop&q=80
Chilli Paneer Dry,Veg Starters,250,Veg,"Batter-fried paneer cubes tossed in fiery Schezwan wok with bell peppers, onions, and green chilies",TRUE,5,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=500&auto=format&fit=crop&q=80
Crispy Gobi 65,Veg Starters,190,Veg,"Crispy battered cauliflower florets tempered with aromatic curry leaves, green chilies, and yogurt dip",TRUE,5,https://images.unsplash.com/photo-1589302168068-964664d93dc0?w=500&auto=format&fit=crop&q=80
Baby Corn Manchurian Dry,Veg Starters,220,Veg,Crisp fried tender baby corn fingers glazed in spicy garlic scallion sauce,TRUE,5,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=500&auto=format&fit=crop&q=80
Hara Bhara Kebab,Veg Starters,230,Veg,"Healthy shallow-fried patties crafted with spinach, green peas, mashed potato, and aromatic herbs",TRUE,5,https://images.unsplash.com/photo-1603894584373-5ac82b2ae398?w=500&auto=format&fit=crop&q=80
Dahi Ke Kebab,Veg Starters,260,Veg,"Melt-in-mouth golden patties made from hung curd, crushed spices, and fresh coriander",TRUE,5,https://images.unsplash.com/photo-1606491956689-2ea866880c84?w=500&auto=format&fit=crop&q=80
Crispy Veg Spring Rolls,Veg Starters,210,Veg,Golden crispy pastry rolls stuffed with shredded vegetables and served with sweet chili dip,TRUE,5,https://images.unsplash.com/photo-1610057099443-fde8c4d50f91?w=500&auto=format&fit=crop&q=80
Kurkure Stuffed Mushroom,Veg Starters,250,Veg,"Button mushrooms stuffed with spiced cheese and spinach, crumb-coated and deep fried crisp",TRUE,5,https://images.unsplash.com/photo-1626777552726-4a6b54c97e46?w=500&auto=format&fit=crop&q=80
Cheese Corn Croquettes,Veg Starters,230,Veg,"Golden crumbed croquettes bursting with melted mozzarella cheese, sweet corn, and herbs",TRUE,5,https://images.unsplash.com/photo-1631452180519-c014fe946bc7?w=500&auto=format&fit=crop&q=80
Veg Seekh Kebab,Veg Starters,240,Veg,Minced mixed vegetables and roasted gram flour seasoned with royal cumin and cooked on skewers,TRUE,5,https://images.unsplash.com/photo-1633945274405-b6c8069047b0?w=500&auto=format&fit=crop&q=80
Tandoori Soya Chaap,Veg Starters,240,Veg,Juicy soya chaap ribs infused with tandoori masala and charred in traditional tandoor oven,TRUE,5,https://images.unsplash.com/photo-1565557623262-b51c2513a641?w=500&auto=format&fit=crop&q=80
Malai Soya Chaap,Veg Starters,260,Veg,"Creamy chargrilled soya chaap rolled in rich clotted cream, black pepper, and cashew paste",TRUE,5,https://images.unsplash.com/photo-1519708227418-c8fd9a32b7a2?w=500&auto=format&fit=crop&q=80
Honey Chilli Potato,Veg Starters,200,Veg,"Crisp potato fingers glazed with natural honey, spicy red chili paste, and toasted sesame seeds",TRUE,5,https://images.unsplash.com/photo-1587314168485-3236d6710814?w=500&auto=format&fit=crop&q=80
Crispy Fried Baby Corn,Veg Starters,210,Veg,Crunchy batter fried baby corn tossed with dry spices and curry leaves,TRUE,5,https://images.unsplash.com/photo-1551024709-8f23befc6f87?w=500&auto=format&fit=crop&q=80
Steamed Veg Momos (8 Pcs),Veg Starters,160,Veg,"Delicate Tibetan dumplings stuffed with cabbage, carrot, and onion, served with spicy red chutney",TRUE,5,https://images.unsplash.com/photo-1551782450-a2132b4ba21d?w=500&auto=format&fit=crop&q=80
Paneer 65 South Special,Veg Starters,250,Veg,"Spicy South Indian style fried paneer tossed with curd, curry leaves, and crushed red chilies",TRUE,5,https://images.unsplash.com/photo-1525351484163-7529414344d8?w=500&auto=format&fit=crop&q=80
Classic Tandoori Chicken (Full),Non-Veg Starters,480,Non-Veg,"Whole chicken steeped in Kashmiri red chili yogurt marinade, skewered and roasted in clay oven",TRUE,5,https://images.unsplash.com/photo-1568901346375-23c9450c58cd?w=500&auto=format&fit=crop&q=80
