Name,Category,Price,Type,Description,Is Available,Tax Rate,Image URL
Hot & Pepper Chicken,Chicken Starters,240,Non-Veg,Tender chicken bites tossed with freshly cracked black pepper and fiery red chillies,TRUE,5,
Red Hot Chicken,Chicken Starters,230,Non-Veg,Crispy fried chicken wok-tossed in a vibrant spicy red chilli sauce,TRUE,5,
Slice Chicken,Chicken Starters,250,Non-Veg,Thinly sliced tender chicken breast glazed with aromatic oriental sauces,TRUE,5,
Bhutan Chicken,Chicken Starters,260,Non-Veg,Specialty Himalayan-style spicy chicken tossed with dry red chillies and scallions,TRUE,5,
Pepper Chicken,Chicken Starters,230,Non-Veg,Traditional South Indian style chicken dry fry coated in crushed black peppercorns and curry leaves,TRUE,5,
Szechuan Chicken,Chicken Starters,260,Non-Veg,Wok-tossed chicken chunks in pungent Szechuan chilli paste with bell peppers,TRUE,5,
Basket Chicken,Chicken Starters,290,Non-Veg,Crispy golden fried chicken served in a crunchy fried basket with house dips,TRUE,5,
Fish Finger,Fish Starters,250,Non-Veg,"Crumb-coated boneless fish fingers fried to golden perfection, served with tartar dip",TRUE,5,
Ginger Fish,Fish Starters,260,Non-Veg,Fresh fish fillets tossed in aromatic ginger glaze with green chillies and spring onions,TRUE,5,
Hong Kong Fish,Fish Starters,270,Non-Veg,"Crisp batter-fried fish tossed in sweet, tangy, and mildly spicy Hong Kong sauce",TRUE,5,
Apollo Fish,Fish Starters,250,Non-Veg,Hyderabadi classic boneless fish tossed in spiced yoghurt tempering with curry leaves,TRUE,5,
Szechuan Fish,Fish Starters,270,Non-Veg,Tender fish cubes tossed in spicy Szechuan sauce with garlic and bell peppers,TRUE,5,
Salt & Pepper Prawns,Prawns Starters,250,Non-Veg,"Crispy fried prawns seasoned with sea salt, crushed white pepper, and spring onions",TRUE,5,
Loose Prawns,Prawns Starters,240,Non-Veg,"Crisp light-battered succulent prawns tossed with onions, green chillies, and curry leaves",TRUE,5,
