Name,Category,Price,Type,Description,Is Available,Tax Rate,Image URL
"Margherita Pizza (Medium 9"")","Pizza (Medium 9"")",189,Veg,Classic 9-inch medium crust pizza topped with rich herb-infused tomato sauce and gooey melted mozzarella cheese,TRUE,5,
"Cheese Corn Pizza (Medium 9"")","Pizza (Medium 9"")",199,Veg,Golden sweet corn kernels and generous mozzarella cheese over freshly baked 9-inch crust,TRUE,5,
"Paneer Pizza (Medium 9"")","Pizza (Medium 9"")",209,Veg,"Tender marinated spiced cottage cheese cubes, crisp bell peppers, and melted cheese on 9-inch base",TRUE,5,
"Chicken Pizza (Medium 9"")","Pizza (Medium 9"")",219,Non-Veg,"Succulent spiced chicken chunks, bell peppers, sliced onions, and mozzarella on 9-inch crust",TRUE,5,
"Crispy Chicken Pizza (Medium 9"")","Pizza (Medium 9"")",229,Non-Veg,Crunchy golden fried chicken bites layered over zesty tomato pizza sauce and melted cheese,TRUE,5,
"Special Chicken Pizza (Medium 9"")","Pizza (Medium 9"")",249,Non-Veg,"Special loaded chicken feast with seasoned shredded chicken, crispy bites, and double mozzarella cheese",TRUE,5,
Veg Sandwich,Sandwich,99,Veg,"Crisp garden fresh vegetables, cucumber, tomatoes, and seasoned mint spread in grilled toasted bread",TRUE,5,
Paneer Sandwich,Sandwich,129,Veg,Grilled cottage cheese slices seasoned with aromatic herbs and melted cheese in toasted sandwich bread,TRUE,5,
Cheese Corn Sandwich,Sandwich,129,Veg,"Juicy golden sweet corn sautéed with melted cheese, herbs, and crushed black pepper in toasted bread",TRUE,5,
Egg Sandwich (Scrambled),Sandwich,129,Non-Veg,Fluffy butter-scrambled eggs seasoned with black pepper and mild herbs tucked in toasted sandwich bread,TRUE,5,
Chicken Sandwich,Sandwich,139,Non-Veg,Tender shredded chicken tossed in creamy seasoned mayonnaise and lettuce inside toasted bread,TRUE,5,
Chicken Sandwich (Crispy),Sandwich,159,Non-Veg,Golden crispy crumb-fried chicken fillet topped with burger sauce and lettuce in toasted bread,TRUE,5,
Chicken Sandwich (Jumbo),Sandwich,169,Non-Veg,"Multi-layered jumbo toasted sandwich packed with double chicken filling, cheese, and crunchy veggies",TRUE,5,
Chicken Popcorn,Crispy Fried Chicken,150,Non-Veg,Bite-sized crunchy golden fried chicken nuggets tossed with chef special savoury seasoning,TRUE,5,
Chicken Wings (5 Pcs),Crispy Fried Chicken,150,Non-Veg,5 pieces of crispy crumb-coated chicken wings fried golden with crunchy crust and juicy meat,TRUE,5,
Chicken Lollipops (4 Pcs),Crispy Fried Chicken,200,Non-Veg,"4 pieces of crispy frenched chicken wingettes seasoned in aromatic spices, fried to golden perfection",TRUE,5,
Chicken Strips (4 Pcs),Crispy Fried Chicken,160,Non-Veg,4 pieces of succulent boneless chicken breast tenders coated in crunchy breadcrumbs,TRUE,5,
Veg Burger,Burger,100,Veg,"Crispy vegetable patty layered with fresh lettuce, sliced tomatoes, onions, and creamy burger mayo",TRUE,5,
Chicken Burger,Burger,120,Non-Veg,"Juicy spiced chicken patty topped with fresh lettuce, onions, and tangy sauce in toasted bun",TRUE,5,
Crispy Chicken Burger,Burger,150,Non-Veg,Crunchy golden fried whole chicken fillet crowned with cheese sauce and fresh coleslaw,TRUE,5,
French Fries Salted,Fries,100,Veg,Classic deep-fried golden potato fingers lightly seasoned with fine sea salt,TRUE,5,
French Fries Peri Peri,Fries,120,Veg,Crunchy French fries tossed in fiery and tangy African peri peri spice seasoning,TRUE,5,
Veg Wrap,Wraps,99,Veg,"Sautéed farm-fresh vegetables, crunchy cabbage, and spiced sauces rolled in warm tortilla wrap",TRUE,5,
Paneer Wrap,Wraps,119,Veg,"Spiced cottage cheese cubes with bell peppers, sliced onions, and mint mayo wrapped in soft flatbread",TRUE,5,
Chicken Wrap,Wraps,129,Non-Veg,"Grilled shredded chicken, crisp lettuce, and creamy garlic dressing rolled inside warm tortilla",TRUE,5,
Veg Momos,Momos,109,Veg,"Steamed Himalayan dumplings stuffed with finely minced vegetables, cabbage, and ginger",TRUE,5,
Corn Momos,Momos,129,Veg,"Steamed delicate dumplings filled with sweet corn kernels, melted cheese, and mild spices",TRUE,5,
Paneer Momos,Momos,139,Veg,"Steamed dumplings loaded with seasoned fresh cottage cheese, herbs, and scallions",TRUE,5,
Mushroom Momos,Momos,149,Veg,"Steamed savory dumplings packed with finely chopped button mushrooms, onions, and garlic",TRUE,5,
Chicken Momos,Momos,149,Non-Veg,Classic steamed dumplings stuffed with juicy seasoned minced chicken and spring onions,TRUE,5,
Chicken Barbeque Momos,Momos,149,Non-Veg,Steamed chicken momos generously tossed and glazed in smoky sweet barbeque sauce,TRUE,5,
