Name,Category,Price,Type,Description,Is Available,Tax Rate,Image URL
Veg Hot and Sour,Soups,89,Veg,"Spicy and tangy vegetable broth loaded with shredded cabbage, carrots, and mushrooms",TRUE,5,
Veg Manchow,Soups,99,Veg,"Classic dark soy garlic broth packed with chopped vegetables, served with crispy noodles",TRUE,5,
Veg Sweet Corn,Soups,119,Veg,Silky comforting sweet corn soup with tender corn kernels and mild herbs,TRUE,5,
Tomato Shorba,Soups,99,Veg,"Traditional spiced Indian tomato soup infused with herbs, cumin, and fresh coriander",TRUE,5,
Chicken Sweet Corn,Soups,119,Non-Veg,Rich egg drop broth with tender shredded chicken breast and sweet corn,TRUE,5,
Chicken Hot and Sour,Soups,129,Non-Veg,"Fiery chicken soup accented with chili paste, vinegar, mushrooms, and shredded chicken",TRUE,5,
Chicken Manchow,Soups,129,Non-Veg,Spicy Indo-Chinese dark soy chicken broth topped with crispy fried noodles,TRUE,5,
Andhra Fish Fry,Sea food Starters,280,Non-Veg,Boneless fish fillets marinated in traditional Andhra spices and pan-fried crisp,TRUE,5,
Chilli Glazed Fish,Sea food Starters,299,Non-Veg,Crispy batter-fried fish fillets wok-glazed in sweet and spicy chilli sauce,TRUE,5,
Fish Manchuria,Sea food Starters,299,Non-Veg,"Crisp fish nuggets tossed in dark soy, garlic, and ginger Manchurian gravy",TRUE,5,
Fish Finger,Sea food Starters,319,Non-Veg,"Golden crumb-coated boneless fish fingers fried crisp, served with dipping sauce",TRUE,5,
Garlic Fish,Sea food Starters,319,Non-Veg,"Fresh fish fillets tossed with sautéed roasted garlic, green chillies, and herbs",TRUE,5,
Loose Prawns,Sea food Starters,340,Non-Veg,"Crisp light-battered succulent prawns tossed with onions, green chillies, and curry leaves",TRUE,5,
Chilli Prawns,Sea food Starters,340,Non-Veg,Batter-fried juicy prawns wok-glazed in spicy soy chilli garlic sauce with capsicum,TRUE,5,
Prawns Manchuria,Sea food Starters,320,Non-Veg,Crispy prawns tossed in classic oriental ginger garlic Manchurian reduction,TRUE,5,
Garlic Prawns,Sea food Starters,340,Non-Veg,Plump prawns sautéed in rich garlic herb butter with a touch of crushed pepper,TRUE,5,
Golden Fried Prawns,Sea food Starters,360,Non-Veg,Golden butterflied prawns crumb-coated and deep fried until super crunchy,TRUE,5,
Prawns Fry,Sea food Starters,360,Non-Veg,Traditional coastal style spiced prawns pan-fried with onions and curry leaves,TRUE,5,
Gongura Prawns,Sea food Starters,340,Non-Veg,Fresh prawns tossed with authentic tangy Andhra Gongura roselle leaf masala,TRUE,5,
Gobi Manchuria,Veg Starters,119,Veg,Crispy cauliflower florets batter-fried and tossed in dark soy Manchurian glaze,TRUE,5,
Gobi 65,Veg Starters,129,Veg,Cauliflower florets marinated in South Indian spices and deep fried crisp with curry leaves,TRUE,5,
Gobi Chilli,Veg Starters,139,Veg,"Crispy fried cauliflower florets tossed with onions, capsicum, and green chillies",TRUE,5,
Gobi Pepper,Veg Starters,149,Veg,Cauliflower dry-fried with freshly cracked black peppercorns and curry leaves,TRUE,5,
Mushroom Manchuria,Veg Starters,149,Veg,Fresh button mushrooms fried crisp and tossed in dark soy Manchurian sauce,TRUE,5,
Mushroom 65,Veg Starters,159,Veg,Battered button mushrooms deep-fried with aromatic Indian 65 spices and curry leaves,TRUE,5,
Mushroom Chilli,Veg Starters,159,Veg,"Juicy button mushrooms wok-seared with green chillies, onions, and capsicum",TRUE,5,
Mushroom Pepper,Veg Starters,169,Veg,Whole button mushrooms sautéed with fresh ground black pepper and curry leaves,TRUE,5,
Baby Corn Manchuria,Veg Starters,169,Veg,Tender baby corn fingers batter-fried and glazed in savoury Manchurian sauce,TRUE,5,
Baby Corn 65,Veg Starters,179,Veg,Crunchy baby corn tossed in spicy South Indian 65 tempering and curry leaves,TRUE,5,
Baby Corn Chilli,Veg Starters,179,Veg,"Golden baby corn wok-tossed with capsicum, onion, and oriental chilli sauce",TRUE,5,
Baby Corn Pepper,Veg Starters,179,Veg,Crisp baby corn tossed in freshly crushed black pepper and aromatics,TRUE,5,
Paneer Manchuria,Veg Starters,220,Veg,"Crispy paneer cubes tossed in garlic, ginger, and scallion Manchurian sauce",TRUE,5,
Paneer 65,Veg Starters,240,Veg,Spiced paneer cubes deep-fried and tossed with tempered curry leaves and chillies,TRUE,5,
Paneer Chilli,Veg Starters,240,Veg,Cottage cheese cubes tossed in spicy chilli soy reduction with bell peppers,TRUE,5,
Paneer Pepper,Veg Starters,250,Veg,Fresh paneer cubes dry-tossed in robust crushed black peppercorn seasoning,TRUE,5,
Crispy Corn,Veg Starters,160,Veg,"Crisp fried sweet corn kernels tossed with spices, onion, and fresh lemon juice",TRUE,5,
Omlet,Egg Items,60,Non-Veg,"Fluffy beaten egg omelette with chopped onions, green chillies, and fresh coriander",TRUE,5,
Egg Burji,Egg Items,80,Non-Veg,"Spicy Indian style scrambled eggs sautéed with onions, tomatoes, and aromatic herbs",TRUE,5,
Chilli Egg,Egg Items,120,Non-Veg,Crispy battered boiled egg wedges tossed in spicy chilli garlic soya sauce,TRUE,5,
Egg Manchuria,Egg Items,149,Non-Veg,Batter-fried egg pieces glazed in savoury ginger garlic Manchurian reduction,TRUE,5,
Chicken Manchuria,Chicken Starter,180,Non-Veg,Crisp chicken morsels wok-tossed in classic ginger garlic Manchurian sauce,TRUE,5,
Chicken 65,Chicken Starter,220,Non-Veg,Authentic spicy deep-fried chicken cubes tossed with curry leaves and green chillies,TRUE,5,
Chicken Chilli,Chicken Starter,220,Non-Veg,"Wok-seared diced chicken tossed with crisp green peppers, onions, and soy chilli glaze",TRUE,5,
Rayalseema Chicken,Chicken Starter,230,Non-Veg,Authentic spicy Rayalaseema style rustic chicken fry cooked with native spices,TRUE,5,
Schezwan Chicken Dry,Chicken Starter,240,Non-Veg,Wok-tossed chicken chunks in pungent spicy Schezwan chilli paste and bell peppers,TRUE,5,
Chicken Drumstick,Chicken Starter,250,Non-Veg,Juicy spiced chicken drumsticks roasted and fried crisp with herb seasonings,TRUE,5,
Chicken Lollipop (6pc),Chicken Starter,260,Non-Veg,Frenched chicken winglets batter-fried crisp served with spicy house dip (6 pcs),TRUE,5,
Chicken Majestic,Chicken Starter,240,Non-Veg,"Crisp chicken tenders cooked with green chillies, mint leaves, and mild spiced curd",TRUE,5,
Dragon Chicken,Chicken Starter,240,Non-Veg,"Crispy chicken strips tossed in fiery sweet chilli paste, cashews, and garlic",TRUE,5,
Pepper Chicken,Chicken Starter,250,Non-Veg,Traditional South Indian style chicken dry fry coated in crushed black peppercorns,TRUE,5,
Chicken 555,Chicken Starter,240,Non-Veg,Tender chicken strips tossed in a mildly spicy creamy garlic and green chilli dressing,TRUE,5,
Hyd Chicken Ghee Roast,Chicken Starter,250,Non-Veg,Chicken roasted in pure aromatic desi ghee with freshly ground Hyderabadi spices,TRUE,5,
Lemon Chicken,Chicken Starter,229,Non-Veg,"Succulent chicken morsels flavored with fresh lemon juice, white pepper, and green chillies",TRUE,5,
Gongura Chicken Dry,Chicken Starter,249,Non-Veg,Dry roasted chicken tossed with tangy authentic Andhra Gongura leaf masala,TRUE,5,
Golden Chicken (SPL),Chicken Starter,259,Non-Veg,Chef special crunchy crumb-coated golden fried chicken fillets with dips,TRUE,5,
Garlic Chicken,Chicken Starter,259,Non-Veg,Tender chicken pieces sautéed in aromatic roasted garlic and herb sauce,TRUE,5,
Velluli Kodi vepudu(SPL),Chicken Starter,260,Non-Veg,Special Rayalaseema style garlic-infused dry chicken fry with native spices,TRUE,5,
Kothimeera Kodi Vepudu(SPL),Chicken Starter,260,Non-Veg,Special chicken fry tossed in freshly ground green coriander masala paste,TRUE,5,
Veg Biryani,Biryani's,150,Veg,"Fragrant basmati rice layered with garden vegetables, saffron, and aromatic spices",TRUE,5,
Lollipop Biryani,Biryani's,240,Non-Veg,Aromatic dum basmati biryani served with crispy spiced chicken lollipops,TRUE,5,
Chicken 65 Biryani,Biryani's,240,Non-Veg,Flavourful basmati biryani topped with fiery juicy Chicken 65 morsels,TRUE,5,
Egg Biryani,Biryani's,190,Non-Veg,Fragrant basmati biryani layered with roasted spiced boiled eggs and herbs,TRUE,5,
Fish Biryani,Biryani's,280,Non-Veg,Royal basmati rice dum cooked with marinated boneless fish fillets and spices,TRUE,5,
Prawns Biryani,Biryani's,320,Non-Veg,Aromatic basmati rice cooked with succulent marinated fresh prawns and saffron,TRUE,5,
Veg Soft Noodles,Noodles,99,Veg,"Stir-fried soft noodles tossed with shredded cabbage, carrots, and spring onions",TRUE,5,
Veg Hakka Noodles,Noodles,129,Veg,Traditional Hakka style wok noodles tossed with fresh crisp vegetables and soy,TRUE,5,
Schezwan Soft Noodles,Noodles,139,Veg,Spicy wok-tossed noodles laced with fiery Schezwan chili paste and veggies,TRUE,5,
Chilli Garlic Noodles,Noodles,149,Veg,Stir-fried noodles infused with robust roasted garlic and spicy red chillies,TRUE,5,
Gobi Noodles,Noodles,129,Veg,Wok-tossed noodles mixed with crispy seasoned cauliflower florets and veggies,TRUE,5,
Egg Soft Noodles,Noodles,120,Non-Veg,Soft noodles stir-fried with fluffy scrambled eggs and garden vegetables,TRUE,5,
Chicken Soft Noodles,Noodles,140,Non-Veg,Classic stir-fried noodles loaded with shredded chicken and seasoned veggies,TRUE,5,
Schezwan Chicken Noodles,Noodles,149,Non-Veg,Spicy Schezwan noodles wok-tossed with tender chicken chunks and vegetables,TRUE,5,
Chicken Hakka Noodles,Noodles,149,Non-Veg,Traditional Hakka style wok noodles tossed with tender chicken strips and soy sauce,TRUE,5,
Mixed Soft Noodles,Noodles,240,Non-Veg,"Loaded wok noodles featuring chicken, egg, juicy prawns, and assorted vegetables",TRUE,5,
Prawns Soft Noodles,Noodles,249,Non-Veg,"Soft noodles stir-fried with tender sautéed prawns, spring onions, and garlic",TRUE,5,
Jeera Rice,Fried Rice,99,Veg,Aromatic basmati rice tempered with roasted cumin seeds and pure desi ghee,TRUE,5,
Veg Fried Rice,Fried Rice,120,Veg,Wok-tossed basmati rice with finely diced seasonal vegetables and mild seasoning,TRUE,5,
Gobi Fried Rice,Fried Rice,129,Veg,Flavourful fried rice tossed with crispy seasoned cauliflower florets,TRUE,5,
Mushroom Fried Rice,Fried Rice,149,Veg,Savoury basmati fried rice cooked with fresh button mushrooms and spring onions,TRUE,5,
Schezwan Fried Rice,Fried Rice,159,Veg,Fiery wok-fried rice tossed in zesty red Schezwan sauce and crisp vegetables,TRUE,5,
Mixed Fried Rice,Fried Rice,180,Veg,"Rich fried rice packed with assorted vegetables, paneer, and mushrooms",TRUE,5,
Chilli Garlic Fried Rice,Fried Rice,159,Veg,Aromatic fried rice packed with roasted garlic and crushed dry red chillies,TRUE,5,
Paneer Fried Rice,Fried Rice,179,Veg,Wok-tossed basmati fried rice loaded with golden spiced cottage cheese cubes,TRUE,5,
Kaju Fried Rice,Fried Rice,199,Veg,Rich basmati fried rice loaded with crunchy roasted golden cashew nuts,TRUE,5,
Egg Fried Rice,Fried Rice,139,Non-Veg,Classic wok-fried rice tossed with fluffy scrambled eggs and spring onions,TRUE,5,
Chicken Fried Rice,Fried Rice,149,Non-Veg,Popular Indo-Chinese fried rice tossed with tender shredded chicken and vegetables,TRUE,5,
